epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5689,0.68505,2.46162,1.23463,0.0031,0.93103,0.62628,0.4047,0.54626,3.21221,0.90006,0.00012,0.00012,0.00012
2,80.6655,0.58764,1.79113,1.15089,0.00322,0.96552,0.73028,0.59671,0.47689,2.97453,0.75864,0.00024713,0.00024713,0.00024713
3,120.998,0.61968,1.30317,1.16279,0.71856,0.70463,0.6191,0.53079,0.64645,2.69087,1.09232,0.0003604,0.0003604,0.0003604
4,161,0.56437,1.10901,1.12628,0.67113,0.7931,0.78109,0.72242,0.52659,2.51762,0.86258,0.00045981,0.00045981,0.00045981
5,202.039,0.61143,1.03404,1.09718,0.69084,0.68966,0.73854,0.62303,0.70811,2.73493,1.01256,0.00054536,0.00054536,0.00054536
6,243.451,0.50565,0.94774,1.04959,0.74719,0.75862,0.7763,0.70647,0.51261,2.24826,0.81212,0.00061705,0.00061705,0.00061705
7,285.221,0.60316,1.04273,1.07777,0.93324,0.7931,0.84924,0.758,0.66498,2.42988,0.97908,0.00067488,0.00067488,0.00067488
8,327.614,0.59427,0.99954,1.1005,0.772,0.72414,0.73044,0.69265,0.61946,2.34726,0.91314,0.00071885,0.00071885,0.00071885
9,369.286,0.57551,0.93128,1.10274,0.68318,0.74383,0.76848,0.52031,0.81193,2.53408,1.10714,0.00074896,0.00074896,0.00074896
10,409.217,0.55149,0.99867,1.107,0.81882,0.77951,0.87129,0.77736,0.54517,1.88611,0.85808,0.00076521,0.00076521,0.00076521
11,451.437,0.34201,1.4384,1.04208,0.75062,0.83042,0.86799,0.79547,0.55692,1.84295,0.95296,0.0007676,0.0007676,0.0007676
12,492.973,0.28304,1.18329,0.98743,0.71269,0.86207,0.79258,0.75037,0.54606,1.97711,0.8535,0.00075613,0.00075613,0.00075613
13,534.832,0.32062,1.23026,1.03242,0.78663,0.82759,0.81074,0.77215,0.49317,1.83889,0.81496,0.0007308,0.0007308,0.0007308
14,575.58,0.31203,1.1516,1.0276,0.86161,0.82759,0.87239,0.82958,0.60832,1.5989,0.95831,0.00069161,0.00069161,0.00069161
15,615.257,0.30164,1.03955,1.02686,0.90024,0.82759,0.88604,0.81031,0.51111,1.76996,0.78255,0.000614,0.000614,0.000614
16,655.709,0.29781,0.99758,1.00514,0.96149,0.86105,0.91565,0.85198,0.51534,1.53728,0.76348,0.000515,0.000515,0.000515
17,696.363,0.29504,1.01696,1.00843,0.99762,0.89655,0.94731,0.87957,0.46667,1.30622,0.69955,0.000416,0.000416,0.000416
18,737.144,0.24818,0.95867,0.99445,0.9455,0.86207,0.95396,0.89247,0.42643,1.15573,0.63834,0.000317,0.000317,0.000317
19,777.677,0.25017,0.94848,0.95885,0.89219,0.89655,0.93657,0.88598,0.37981,1.16458,0.61984,0.000218,0.000218,0.000218
20,818.224,0.23302,0.91967,0.99228,0.89404,0.89655,0.93385,0.87841,0.37043,1.17302,0.62331,0.000119,0.000119,0.000119
