epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3679,0.68505,2.46162,1.23463,0.0031,0.93103,0.62628,0.4047,0.54626,3.21221,0.90006,0.00012,0.00012,0.00012
2,83.3132,0.58898,1.78555,1.1536,0.00322,0.96552,0.71772,0.57993,0.5122,2.97753,0.7812,0.000254852,0.000254852,0.000254852
3,123.233,0.60363,1.32512,1.14984,0.73534,0.65517,0.63128,0.54446,0.643,2.67724,1.14374,0.00038416,0.00038416,0.00038416
4,164.966,0.56705,1.11851,1.12718,0.98249,0.72414,0.887,0.8162,0.52909,2.57507,0.85881,0.000507924,0.000507924,0.000507924
5,208.037,0.61516,1.06421,1.11228,0.75543,0.74586,0.67929,0.60186,0.62927,2.50674,0.99001,0.000626144,0.000626144,0.000626144
6,249.828,0.54014,0.95354,1.0694,0.63652,0.72414,0.68203,0.56326,0.78202,2.7161,1.08223,0.00073882,0.00073882,0.00073882
7,292.474,0.63182,1.05112,1.10881,0.95305,0.70031,0.79403,0.62222,0.81507,2.54543,1.10661,0.000845952,0.000845952,0.000845952
8,334.49,0.63102,1.02554,1.12428,0.90818,0.68241,0.72097,0.40867,1.37468,2.78067,1.75598,0.00094754,0.00094754,0.00094754
9,374.665,0.59225,0.96987,1.12771,0.90814,0.68207,0.77309,0.55791,1.08058,2.81857,1.34098,0.00104358,0.00104358,0.00104358
10,413.638,0.56244,0.98264,1.13143,0.68637,0.55172,0.60616,0.46785,0.97211,2.85324,1.2225,0.00113408,0.00113408,0.00113408
11,453.367,0.58681,0.87521,1.07244,0.5435,0.72414,0.56936,0.36922,0.81683,2.87492,1.08865,0.00121904,0.00121904,0.00121904
12,494.169,0.59763,0.90452,1.08927,0.53875,0.86207,0.72213,0.42372,1.21325,2.95351,1.79288,0.00129845,0.00129845,0.00129845
13,534.727,0.64087,0.91737,1.1301,0.69483,0.82759,0.7546,0.58383,0.79721,2.42986,1.18876,0.00137232,0.00137232,0.00137232
14,575.619,0.59066,0.86099,1.12715,0.88454,0.75862,0.85985,0.78803,0.57374,1.89518,0.8445,0.00144064,0.00144064,0.00144064
15,616.91,0.62925,0.86398,1.15922,0.90437,0.82759,0.85378,0.65979,0.77692,1.95032,1.07945,0.0014456,0.0014456,0.0014456
16,657.312,0.57166,0.81314,1.08277,0.54251,0.68966,0.57209,0.48021,0.68717,2.15614,0.92938,0.001406,0.001406,0.001406
17,697.285,0.59925,0.78003,1.13189,0.72515,0.75862,0.76657,0.69525,0.62246,1.69046,0.86631,0.0013664,0.0013664,0.0013664
18,736.931,0.54395,0.75355,1.09789,0.4276,0.58621,0.51715,0.30098,1.45591,2.40628,1.44767,0.0013268,0.0013268,0.0013268
19,778.763,0.50466,0.67097,1.05375,0.75522,0.72414,0.70839,0.61368,0.72368,1.69215,0.91857,0.0012872,0.0012872,0.0012872
20,821.801,0.57757,0.73818,1.09121,0.85456,0.89655,0.87269,0.80615,0.51804,1.29761,0.78099,0.0012476,0.0012476,0.0012476
21,864.746,0.51698,0.69698,1.04533,0.83516,0.87381,0.86383,0.74967,0.63936,1.49213,0.93268,0.001208,0.001208,0.001208
22,907.337,0.53885,0.71839,1.09555,0.89087,0.89655,0.88854,0.85417,0.50975,1.13146,0.75239,0.0011684,0.0011684,0.0011684
23,952.17,0.48628,0.67387,1.04483,1,0.8948,0.98211,0.90447,0.45731,1.13746,0.7484,0.0011288,0.0011288,0.0011288
24,994.926,0.50326,0.65369,1.05144,1,0.89152,0.92927,0.84264,0.50611,1.31176,0.75794,0.0010892,0.0010892,0.0010892
25,1037.14,0.50617,0.633,1.04139,1,0.89406,0.93245,0.87158,0.46079,1.25687,0.74697,0.0010496,0.0010496,0.0010496
26,1080.83,0.51871,0.63189,1.05461,0.96273,0.89082,0.9503,0.9112,0.44859,1.17866,0.78616,0.00101,0.00101,0.00101
27,1124.07,0.48373,0.60318,1.02854,0.84574,0.89655,0.88344,0.85794,0.44122,1.18953,0.762,0.0009704,0.0009704,0.0009704
28,1166.9,0.50674,0.64425,1.03037,0.92235,0.89655,0.93219,0.8842,0.46757,1.09579,0.79696,0.0009308,0.0009308,0.0009308
29,1209.45,0.4725,0.60064,1.00855,0.9273,0.93103,0.95468,0.88777,0.45289,1.01386,0.77647,0.0008912,0.0008912,0.0008912
30,1247.59,0.4853,0.62194,1.03441,0.96243,0.88361,0.96071,0.90315,0.46021,0.92635,0.74189,0.0008516,0.0008516,0.0008516
31,1285.1,0.4793,0.60229,1.0291,0.90293,0.9624,0.97595,0.92251,0.42353,0.88381,0.7254,0.000812,0.000812,0.000812
32,1322.78,0.49802,0.59773,1.03488,0.89678,0.96552,0.96979,0.91543,0.38601,0.93166,0.68512,0.0007724,0.0007724,0.0007724
33,1360.08,0.47695,0.5747,1.02667,0.8704,0.92644,0.96681,0.90529,0.38678,0.90978,0.67978,0.0007328,0.0007328,0.0007328
34,1397.16,0.45372,0.54989,1.01254,0.96011,0.93103,0.98303,0.91791,0.41751,0.83753,0.73445,0.0006932,0.0006932,0.0006932
35,1438.08,0.46378,0.54424,1.00899,0.96636,0.99081,0.993,0.91005,0.38985,0.81472,0.72194,0.0006536,0.0006536,0.0006536
36,1479.63,0.42501,0.50234,1.00875,1,0.98301,0.995,0.93863,0.37959,0.84838,0.70654,0.000614,0.000614,0.000614
37,1521.72,0.43054,0.5262,0.97884,0.9585,0.89655,0.97507,0.9101,0.39082,0.91394,0.67888,0.0005744,0.0005744,0.0005744
38,1563.67,0.41424,0.47942,0.99555,0.90248,0.95753,0.96066,0.90311,0.37026,0.86362,0.64696,0.0005348,0.0005348,0.0005348
39,1604.91,0.44671,0.51283,1.01124,0.90292,0.96226,0.98308,0.93542,0.3783,0.85139,0.67755,0.0004952,0.0004952,0.0004952
40,1646.69,0.45825,0.52252,1.00091,0.93069,0.92621,0.98266,0.94289,0.33408,0.86735,0.64562,0.0004556,0.0004556,0.0004556
41,1688.55,0.2266,0.87973,0.9825,0.92946,0.89655,0.96943,0.92942,0.30702,0.86588,0.60946,0.000416,0.000416,0.000416
42,1730.98,0.23538,0.6557,1.00567,0.94692,0.89655,0.95515,0.91166,0.32787,0.84953,0.59462,0.0003764,0.0003764,0.0003764
43,1774.31,0.21849,0.56194,0.93635,0.9171,0.89655,0.91292,0.88811,0.39449,0.87881,0.64202,0.0003368,0.0003368,0.0003368
44,1815.07,0.18395,0.56733,0.92032,0.89286,0.89655,0.89317,0.8815,0.36241,0.85701,0.61515,0.0002972,0.0002972,0.0002972
45,1856.31,0.22449,0.55096,0.97762,0.89014,0.89655,0.89136,0.8769,0.35583,0.9174,0.60841,0.0002576,0.0002576,0.0002576
46,1897.18,0.19708,0.52234,0.92877,0.89282,0.89655,0.91424,0.88283,0.33553,0.99682,0.60292,0.000218,0.000218,0.000218
47,1937.99,0.17105,0.47766,0.93507,0.92259,0.89655,0.92723,0.89519,0.34788,0.96319,0.62394,0.0001784,0.0001784,0.0001784
48,1980.15,0.17967,0.47155,0.93244,0.9461,0.89655,0.94397,0.90436,0.35613,0.82647,0.63993,0.0001388,0.0001388,0.0001388
49,2022.32,0.20716,0.48056,0.93947,0.95065,0.89655,0.94387,0.90867,0.36304,0.7868,0.64519,9.92e-05,9.92e-05,9.92e-05
50,2063.33,0.17532,0.46712,0.93708,0.96043,0.89655,0.95211,0.91417,0.36546,0.72005,0.64523,5.96e-05,5.96e-05,5.96e-05
